id,title,title_en,keywords_en,keywords_fr,authors,date,langue,translated,subcountry,country,firstauthor,country2,author2,macroregion
27035,A comparison of two methods for classifying trajectories: a case study on neighbourhood poverty at the intra-metropolitan level in Montreal,,"latent class growth modelling,k-means,clustering,neighborhood change,poverty,trajectories,Montreal","mod_lisation de variable latente de croissance,k-means,classification,pauvret_,trajectoires,Montr_al","Apparicio Philippe,Riva Mylène,S_guin Anne-Marie",04/06/2015,en,FALSE,Montreal,CA,CA,,,
27019,"LÍespace-temps des Turcs et de la Turquie, de lÍEurasie ö lÍAnatolieæ: essai de mod_lisation graphique","Space-time of the Turks and Turkey, from Eurasia to Anatoliaæ: graphic modeling attempt","Turks,Turkey,people,graphic models,chorotype,interface,demographic policy","Turcs,Turquie,peuple,mod_lisation graphique,chorotype,interface,politique d_mographique",Bruneau Michel,01/06/2015,fr,TRUE,,TR,FR,,,
27010,Towards a Social and Spatial Risk Perception Framework,,"risk perception,place,space,exposure to hazards,residential segregation,Bucharest,Romania","perception du risque,repr_sentation du risque,al_as,exposition,s_gr_gation r_sidentielle,Buacrest,Roumanie",Rufat Samuel,29/05/2015,en,FALSE,Bucharest,RO,FR,,,
1551,Modelling interactions between biophysical ans social systemsæ: the example of dynamics of vegetation in Causse Mejan (Fance),,"vegetation dynamics,multivariate analysis,Causse M_jan","dynamique v_g_tale,analyse multivari_e,Causse M_jan","Cohen Marianne,Alexandre Fr_d_ric,Nicole-R_gine Mathieu",28/05/2015,en,FALSE,Lozere,FR,FR,,,
26991,De la flänerie al trànsito peatonal: la negaciÑn del derecho a la ciudad,From flänerie to pedestrian transit : the denial of the right to the city,"urban mobility,pedestrian,accessibility,fläneur,Mexico city,the right to the city","mobilit_ urbaine,pi_ton,accessibilit_,fläneur,Mexico,droit ö la ville",P_rezæLÑpez Ruth,26/05/2015,es,TRUE,Mexico,MX,MX,,,
26982,"Images, textes et visions du mondeæ: les dispositifs ö lÍìuvre dans les magazines grand-public de g_ographie","Iconology, texts and worldviews: the ways of objectifying reality in mainstream magazines dealing with geography","epistemology of geography,geographical magazines,popularization,media,discourse,representation,worldview","_pist_mologie de la g_ographie,magazines de g_ographie,vulgarisation,m_dias,discours,repr_sentation,vision du monde",Labinal Guilhem,19/05/2015,fr,TRUE,,,FR,,,
26977,LÍAAG pour les nuls,The AAG for Dummies,"AAG,meeting,geography,United States","AAG,colloque,g_ographie,Ätats-Unis",Blidon Marianne,13/05/2015,fr,TRUE,,US,FR,,,
26969,Identification des variables expliquant la distribution spatiale dÍoiseaux de la forêt bor_ale et mod_lisation de tendances futuresæ: une approche multivari_e,,"ecology,multivariate analysis,biogeography,Qu_bec,climate change","_cologie,analyse multivari_e,biog_ographie,Qu_bec,changements climatiques","Gaudreau Jonathan,Perez Liliana,Legendre Pierre",11/05/2015,fr,FALSE,Quebec,CA,CA,,,
26961,"Roger Dion, toujours vivantæ!",,"complex system,landscape,territory,area,wine quality,soil characteristics","système complexe,paysage,territoire,qualit_ du vin,caract_ristique du terroir","Delay Etienne,Chevallier Marius",06/05/2015,fr,FALSE,,,FR,,,
26949,Complexit_ et Log-p_riodicit_ des remont_es m_caniques pour skieurs,"Ski lift Innovations, Complexity and Log-Periodicity","ski lifts,fractals,log periodic law,evolutionary tree,complexity","remont_es m_caniques,fractales,log-p_riodicit_,temps critiques,complexit_",Brissaud Ivan,27/04/2015,fr,TRUE,,,FR,,,
26945,The Russian exclave of Kaliningrad. Challenges and limits of its integration in the Baltic region,,"Kaliningrad,Baltic region,regional integration,exclavisation,cross-border cooperation,geopolitical orientations","Kaliningrad,r_gion baltique,int_gration r_gionale,exclavisation,coop_ration transfrontalière,orientations g_opolitiques","Richard Yann,Sebentsov Alexander,Zotova Maria",08/04/2015,en,FALSE,Kaliningrad,RU,FR,LT_PL,RU,
26921,"G_ographie dÍune maladie _mergente en milieu urbain end_mique, le cas de la dengue ö Delhi, Inde",Geography of an emerging disease in endemic urban milieu: the case of dengue in Delhi,"dengue,re-emerging disease,spatio-temporal diffusion,urban area,spatial analysis","dengue,maladie r_-_mergente,diffusion spatio-temporelle,ville,analyse spatiale",Telle Olivier,07/04/2015,fr,TRUE,Delhi,IN,FR,,,
26906,"Aportes de la economÕa ambiental para la planificaciÑn territorial. Caso de estudio comuna de Quilpu_, Chile",,"environmental economics,land planning,land planning instruments,ecosystem,biodiversity","_conomie de lÍenvironnement,am_nagement du territoire,instruments de planification de lÍenvironnement,_cosystème,biodiversit_","VillanuevaæV. Antonio,FagandiniæR. Francesca,Bazile Didier",31/03/2015,es,FALSE,Quilpue,CL,CL,,FR,
26899,Is cities delineation a pre requisite for urban modelling? The example of land price determinants in Brussels,,"hedonic prices,cities delineations,Brussels","prix h_doniques,d_finition des aires urbaines,Bruxelles","Jones Jonathan,Peeters Dominique,Thomas Isabelle",30/03/2015,en,FALSE,Brussels,BE,BE,,,
26842,Environmental Impact Assessment as a Social Process: The Case of Nuclear Waste Storage in Sweden,,"Environmental Impact Assessment (EIA),decision-making,NGOs,nuclear waste repository","impact environnemental,prise de decision,d_chets nucl_aires,stockage d_chets nucl_aires","Keskitalo E. Carina H.,Nordlund Annika,Lindgren Urban",10/03/2015,en,FALSE,,SE,SE,,,
