concept;1393493670580
global;1325471727225
signific;1458603688385
paper;3332467187945
human;1630978324005
dynam;1413340267685
impact;1348908458880
group;1622661853160
polici;1762776108525
activ;1450850246080
environment;2159733395845
other;2639933294760
decis;1288183451280
factor;2161051688300
larg;1310870765140
local;1672392568340
applic;1207576420925
risk;1598971079565
new;2381528694005
increas;1422540443985
measur;1889656436605
level;2432494419885
geograph;1464423789325
public;1392618415605
manag;2250309382280
speci;2631920672960
natur;1935688877040
individu;1622763323245
rate;1412119038005
sampl;1347238639380
result;4046664201125
year;1599154535080
variabl;1976189506745
scale;1777243438485
network;2732359851545
space;1516491414700
pattern;1887625723205
landscap;1550769217665
research;3053635626305
estim;1390826952845
health;1542286637440
import;2680699937325
approach;2600575115185
method;2336082522180
gener;1670786560085
use;5749668125805
water;1245958912465
theori;1549487431620
locat;1214768479160
popul;1875217180840
region;2663362724560
commun;2307995064140
social;3097327903865
mani;1470976072005
studi;5384626376180
number;1760297037065
differ;4479828918385
area;3477341871980
interact;1445579280005
system;3509983422580
citi;1886041778885
type;1357459639940
more;1366112414985
analysi;3074493864940
urban;2513920055700
relationship;1407091267380
relat;1389320533825
understand;1283804487005
case;1487498852005
work;1272765065905
structur;2080054247705
design;1337078361645
problem;1696379455200
strategi;1227053747665
function;1314963945405
climat;1447350095120
process;2612433915885
respons;1244960555180
high;1338300033785
develop;2792842370760
econom;1750156922880
complex;1623292334185
spatial;3419541497060
map;1811721480560
product;1447695906205
distribut;1786671141705
effect;3205650169100
plan;1470793092780
such;2623462461820
data;5062164039120
chang;3581091697680
land;1508821737125
practic;1415233235680
condit;1343349756125
inform;2522686312905
environ;1521699461760
potenti;1279568139905
time;2564589530705
model;7789599880905
order;1370510002185
