represent;367556777
composit;736573217
abund;492989717
govern;690529276
rang;299682109
fluvial;300955284
signific;264027465
paper;704049176
empir;272093452
follow;302652688
dynam;415886089
concentr;723902945
group;379853476
polici;737840120
elsevi;396811768
activ;341685548
lake;372645317
environment;506962924
complex;420971853
decis;325565348
factor;1057373640
natur coastal;317928448
larg;390876728
vulner;467578221
local;533632969
forest;326838113
applic;318777008
sourc;544214152
risk;1220909669
variou;367980728
term;320898409
nation;510349988
disast;475202401
new;707006405
increas;339988808
characterist;516277132
fractal;496800864
day;383669401
measur;576796445
bat;424362357
organ;484943544
level;820995569
geograph;297560216
method;622898856
integr;328110816
river;569604068
manag;1477163648
natur risk;397235725
dimens;366708593
prevent;502305409
work;288647661
neighborhood;383245480
speci;1283469276
natur;1226789705
individu;378157464
interact;296711428
hydraul;345503109
rate;439193612
diseas;274640476
sampl;928939589
result;1047273948
year;380277449
transport;630509880
concern;434108852
variabl;644038848
statu;415462412
scale;527707025
network;1165871100
space;334898440
influenc;330232021
pattern;270395408
research;868658832
estim;387909085
health;599639205
adapt;344654753
import;533632985
experi;351016976
approach;821417500
public;817198352
impact;334898424
previou;324716816
dzud;299257840
variat;278460821
gener;451056900
use;1738099184
margin;294165132
region;672781264
area;1216289276
sustain;290769820
greater;291618600
sediment;404865913
place;370949069
horizon;523897232
social;755997477
action;341261365
mani;340837168
chang;663905905
natur risk prevent;317928448
predat;299257840
fractal dimens;276338440
major;409528416
mixedwood;265725665
qualiti;324716816
number;301803976
due;368404773
assess;431990081
slr;308593620
coastal;1127617733
respect;297135825
total;312836816
differ;1378273372
institut;309866557
commun;839135960
support;364164169
territori;480708356
system;1111218296
citi;655029836
adjac;314958429
includ;314958345
way;288647657
spatial variabl;264452020
type;710808448
strategi;465460260
analysi;685458764
urban;652070801
knowledg;292891841
relationship;481131873
imag;469696140
risk prevent;476473068
part;325141069
understand;358651052
delta;501035260
harvest;371797209
present;361619689
case;370949057
past;269121865
context;349744561
input;299257772
veget;692641977
servic;286101073
properti;736573209
structur;670668185
scienc;279734240
design;398083609
problem;282705489
similar;380277493
observ;360771553
control;636429028
function;370949077
evalu;419276629
cgdi;387485200
process;694754460
soil;1622363501
respons;355682337
site;938210009
indic;281007625
high;652493452
diagnost;351016984
diagnost horizon;278885304
probabl;352713540
develop;742907588
form;303925765
econom;342109721
flood;334898452
other;579334677
neighbourhood;336171169
spatial;1373242172
techniqu;269121853
flow;275064993
subject;425209861
channel;317079900
complet;343382232
map;672358645
product;307744904
resourc;319625580
distribut;503999053
evid;340412989
industri;368404933
object;458682564
effect;667709712
hazard;419276649
mortal;377309572
marin;266150188
regress;301379617
plan;508656524
such;454869777
data;1672102572
studi;1353533413
recent;415886061
memori;292467508
land;748397141
practic;392996433
element concentr;278885304
cover;406561385
element;416733749
inform;959696480
potenti;480284821
time;314534052
model;1998256292
order;322595521
