model;27870380187
concept;7786002712
speci;9434627415
process;9592509940
natur;8324975531
individu;7331878804
number;7133509491
econom;7258744544
paper;14259619932
result;16697504920
factor;8930891419
variabl;8035073395
differ;18654788907
develop;12075710620
network;10424313868
area;12964496943
polici;8668917560
system;14984372012
research;12346110628
environment;8959624343
citi;7914425284
other;10559896159
spatial;11788691195
import;10407775375
approach;12919484548
method;9064598296
analysi;11938265675
urban;11447609647
gener;7354038904
social;12629570868
use;22970031212
effect;12677899008
new;10187243103
such;10368085423
data;17655714959
studi;22066927024
problem;7134617984
popul;7143485200
measur;7722888215
level;10171803155
region;10829872672
commun;9554975244
space;7634295979
structur;7838038471
inform;10696552571
map;9209323819
environ;7770501064
time;11593967640
chang;13837723431
manag;8885579164
