"","source","target","value"
"1","Amenagement","biogeography",3.92068943412972
"2","Amenagement","biology",0.353536523347911
"3","Amenagement","cognitive.sciences",0.169803154354766
"4","Amenagement","complex.systems",3.05280183016884
"5","Amenagement","crime",0.0120743781250077
"6","Amenagement","GIS",0.646833400840739
"7","Amenagement","health",0.117946775934485
"8","Amenagement","political.sciences",6.85408146916469
"9","Amenagement","remote.sensing",0.662616290202539
"10","Amenagement","spatial.analysis",1.09294793071841
"11","Amenagement","statistics",0.20518945371535
"12","Amenagement","traffic.modeling",0.378646622888001
"13","Carte","biogeography",1.50245377924341
"14","Carte","biology",0.292546712757108
"15","Carte","cognitive.sciences",0.0130892329823368
"16","Carte","complex.systems",4.57467970822211
"17","Carte","crime",0.0682435636446303
"18","Carte","GIS",0.410698145860579
"19","Carte","health",0.130353345440435
"20","Carte","political.sciences",6.19103293586883
"21","Carte","remote.sensing",0.439807523299872
"22","Carte","spatial.analysis",1.49825304836782
"23","Carte","statistics",0.37851577402081
"24","Carte","traffic.modeling",1.10264430460077
"25","Commune","biogeography",0.775877463320641
"26","Commune","biology",0.143720933607474
"27","Commune","cognitive.sciences",0.263858345907918
"28","Commune","complex.systems",1.95668064265589
"29","Commune","crime",0.0200438843210531
"30","Commune","GIS",0.0800756499580266
"31","Commune","health",0.138491475052623
"32","Commune","political.sciences",6.53877952555867
"33","Commune","remote.sensing",0.504823976618668
"34","Commune","spatial.analysis",1.59087480703195
"35","Commune","statistics",0.164080990515199
"36","Commune","traffic.modeling",0.24295841922515
"37","Deplacement","biogeography",0.598124168097775
"38","Deplacement","biology",0.126600233156955
"39","Deplacement","cognitive.sciences",0.170491320655021
"40","Deplacement","complex.systems",1.10377173179196
"41","Deplacement","crime",2.32069602155559e-06
"42","Deplacement","GIS",0.257814404404341
"43","Deplacement","health",0.467991266376569
"44","Deplacement","political.sciences",2.6765960181752
"45","Deplacement","remote.sensing",0.142717651196322
"46","Deplacement","spatial.analysis",0.486437292829715
"47","Deplacement","statistics",0.0110719557978287
"48","Deplacement","traffic.modeling",0.0122435157117237
"49","Eau","biogeography",1.85501098960955
"50","Eau","biology",0.225114463024545
"51","Eau","cognitive.sciences",0.262204261240176
"52","Eau","complex.systems",2.17661172175741
"53","Eau","crime",0.199234732354695
"54","Eau","GIS",0.136450186440492
"55","Eau","health",0.338497078143794
"56","Eau","political.sciences",9.14754949765415
"57","Eau","remote.sensing",0.522598841495084
"58","Eau","spatial.analysis",1.07105452557184
"59","Eau","statistics",0.223148351041379
"60","Eau","traffic.modeling",0.315626040597106
"61","EN","biogeography",3.79677732276982
"62","EN","biology",0.293379304677294
"63","EN","cognitive.sciences",0.171312759604105
"64","EN","complex.systems",2.82260522263759
"65","EN","crime",0.0577511961272107
"66","EN","GIS",0.243512358761128
"67","EN","health",0.0147692118437562
"68","EN","political.sciences",4.21607511962789
"69","EN","remote.sensing",1.25997327610602
"70","EN","spatial.analysis",1.68491676450731
"71","EN","statistics",0.13782745823804
"72","EN","traffic.modeling",0.190479161418039
"73","Entreprise","biogeography",0.551475525367842
"74","Entreprise","biology",0.25412436888474
"75","Entreprise","cognitive.sciences",0.226386190284362
"76","Entreprise","complex.systems",1.49866496082396
"77","Entreprise","crime",2.32069602153282e-06
"78","Entreprise","GIS",0.0633149529396485
"79","Entreprise","health",0.0546995738013307
"80","Entreprise","political.sciences",5.4379588093908
"81","Entreprise","remote.sensing",0.546565935517636
"82","Entreprise","spatial.analysis",0.463292705220083
"83","Entreprise","statistics",0.141384256109593
"84","Entreprise","traffic.modeling",0.0584026291933698
"85","Frontiere","biogeography",0.70946086703439
"86","Frontiere","biology",0.0448577727268752
"87","Frontiere","cognitive.sciences",0.029867815117151
"88","Frontiere","complex.systems",0.866127367934155
"89","Frontiere","crime",0.00553728982916374
"90","Frontiere","GIS",0.0143594535173376
"91","Frontiere","health",0.000905706301377567
"92","Frontiere","political.sciences",4.62394199136305
"93","Frontiere","remote.sensing",0.159669177465715
"94","Frontiere","spatial.analysis",0.456896513189281
"95","Frontiere","statistics",0.0169791975114313
"96","Frontiere","traffic.modeling",0.130762788812712
"97","Geographie","biogeography",1.43677785870963
"98","Geographie","biology",0.0609591141081982
"99","Geographie","cognitive.sciences",0.385589186646627
"100","Geographie","complex.systems",1.15805851354609
"101","Geographie","crime",0.039941307943402
"102","Geographie","GIS",0.200096474472203
"103","Geographie","health",0.0732615433260741
"104","Geographie","political.sciences",2.48147515718715
"105","Geographie","remote.sensing",0.446705980080753
"106","Geographie","spatial.analysis",0.40347936752182
"107","Geographie","statistics",0.0997284567715416
"108","Geographie","traffic.modeling",0.0991248799525051
"109","Ile","biogeography",0.424295874650324
"110","Ile","biology",0.0372379640829246
"111","Ile","cognitive.sciences",0.0752652873242607
"112","Ile","complex.systems",1.86052837114427
"113","Ile","crime",0.0180648376697937
"114","Ile","GIS",0.0258961654880185
"115","Ile","health",0.128219451862905
"116","Ile","political.sciences",3.02302686822333
"117","Ile","remote.sensing",0.131683354230701
"118","Ile","spatial.analysis",0.625797391480515
